state,fips,trump,clinton,hex
AK,02,52.9,37.7,#870060
AL,01,62.9,34.6,#a00058
AR,05,60.4,33.8,#9a0056
AZ,04,49.6,45.3,#7e0074
CA,06,33.3,61.5,#55009d
CO,08,44.4,47.2,#710078
CT,09,41.7,53.9,#6a0089
DC,11,4.1,92.8,#0a00ed
DE,10,41.9,53.4,#6b0088
FL,12,49.1,47.8,#7d007a
GA,13,51.3,45.6,#830074
HI,15,30,62.2,#4d009f
IA,19,51.8,42.2,#84006c
ID,16,59.2,27.6,#970046
IL,17,39.4,55.4,#64008d
IN,18,57.2,37.9,#920061
KS,20,57.2,36.2,#92005c
KY,21,62.5,32.7,#9f0053
LA,22,58.1,38.4,#940062
MA,25,33.5,60.8,#55009b
MD,24,35.3,60.5,#5a009a
ME,23,45.1,47.9,#73007a
MI,26,47.6,47.3,#790079
MN,27,45.4,46.8,#740077
MO,29,57.1,38,#920061
MS,28,58.3,39.7,#950065
MT,30,56.5,36,#90005c
NC,37,50.5,46.7,#810077
ND,38,64.1,27.8,#a30047
NE,31,60.3,34,#9a0057
NH,33,47.3,47.6,#790079
NJ,34,42,54.8,#6b008c
NM,35,40,48.3,#66007b
NV,32,45.5,47.9,#74007a
NY,36,37.5,58.8,#600096
OH,39,52.1,43.5,#85006f
OK,40,65.3,28.9,#a7004a
OR,41,41.1,51.7,#690084
PA,42,48.8,47.6,#7c0079
RI,44,40.3,54.9,#67008c
SC,45,54.9,40.8,#8c0068
SD,46,61.5,31.7,#9d0051
TN,47,61.1,34.9,#9c0059
TX,48,52.6,43.4,#86006f
UT,49,46.8,27.8,#770047
VA,51,45,49.9,#73007f
VT,50,32.6,61.1,#53009c
WA,53,38.1,55.7,#61008e
WI,55,47.9,46.9,#7a0078
WV,54,68.7,26.5,#af0044
WY,56,70.1,22.5,#b30039
